Test ID,Test Pass/Fail Force [lbf], Pass/Fail Criteria [lbf],Test Result
06_55_17_PM_03_17_2018_Test_1,80,0.8,fail
06_55_17_PM_03_17_2018_Test_1,80,0.8,fail
06_55_19_PM_03_17_2018_Test_2,80,0.8,fail
06_55_19_PM_03_17_2018_Test_2,80,0.8,fail
06_55_20_PM_03_17_2018_Test_3,80,0.8,pass
06_55_20_PM_03_17_2018_Test_3,80,0.8,pass
06_55_21_PM_03_17_2018_Test_4,80,0.8,fail
06_55_21_PM_03_17_2018_Test_4,80,0.8,fail
06_55_22_PM_03_17_2018_Test_5,80,0.8,pass
06_55_22_PM_03_17_2018_Test_5,80,0.8,pass
06_55_24_PM_03_17_2018_Test_6,80,0.8,pass
06_55_24_PM_03_17_2018_Test_6,80,0.8,pass
06_55_25_PM_03_17_2018_Test_7,80,0.8,fail
06_55_25_PM_03_17_2018_Test_7,80,0.8,fail
06_55_26_PM_03_17_2018_Test_8,80,0.8,pass
06_55_26_PM_03_17_2018_Test_8,80,0.8,pass
06_55_28_PM_03_17_2018_Test_9,80,0.8,fail
06_55_28_PM_03_17_2018_Test_9,80,0.8,fail
06_55_29_PM_03_17_2018_Test_10,80,0.8,fail
06_55_29_PM_03_17_2018_Test_10,80,0.8,fail
06_55_31_PM_03_17_2018_Test_11,80,0.8,pass
06_55_31_PM_03_17_2018_Test_11,80,0.8,pass
06_55_32_PM_03_17_2018_Test_12,80,0.8,pass
06_55_32_PM_03_17_2018_Test_12,80,0.8,pass
06_55_34_PM_03_17_2018_Test_13,80,0.8,fail
06_55_34_PM_03_17_2018_Test_13,80,0.8,fail
06_55_39_PM_03_17_2018_Test_14,80,0.8,pass
06_55_39_PM_03_17_2018_Test_14,80,0.8,pass
06_55_40_PM_03_17_2018_Test_15,80,0.8,fail
06_55_40_PM_03_17_2018_Test_15,80,0.8,fail
06_55_42_PM_03_17_2018_Test_16,40,0.8,stopped
06_56_21_PM_03_17_2018_Test_17,74,0.8,stopped
06_56_57_PM_03_17_2018_Test_18,80,0.8,pass
06_56_57_PM_03_17_2018_Test_18,80,0.8,pass
06_56_59_PM_03_17_2018_Test_19,80,0.8,pass
06_56_59_PM_03_17_2018_Test_19,80,0.8,pass
06_57_00_PM_03_17_2018_Test_20,80,0.8,pass
06_57_00_PM_03_17_2018_Test_20,80,0.8,pass
06_57_02_PM_03_17_2018_Test_21,80,0.8,pass
06_57_02_PM_03_17_2018_Test_21,80,0.8,pass
06_57_04_PM_03_17_2018_Test_22,80,0.8,pass
06_57_04_PM_03_17_2018_Test_22,80,0.8,pass
06_57_46_PM_03_17_2018_Test_23,80,0.8,pass
06_57_46_PM_03_17_2018_Test_23,80,0.8,pass
06_57_48_PM_03_17_2018_Test_24,80,0.8,fail
06_57_48_PM_03_17_2018_Test_24,80,0.8,fail
06_57_50_PM_03_17_2018_Test_25,80,0.8,fail
06_57_50_PM_03_17_2018_Test_25,80,0.8,fail
06_57_51_PM_03_17_2018_Test_26,80,0.8,pass
06_57_51_PM_03_17_2018_Test_26,80,0.8,pass
06_57_53_PM_03_17_2018_Test_27,80,0.8,fail
06_57_53_PM_03_17_2018_Test_27,80,0.8,fail
06_57_56_PM_03_17_2018_Test_28,80,0.8,fail
06_57_56_PM_03_17_2018_Test_28,80,0.8,fail
06_57_57_PM_03_17_2018_Test_29,80,0.8,fail
06_57_57_PM_03_17_2018_Test_29,80,0.8,fail
