,0
0,995257
1,995253
2,995238
3,995313
4,995359
5,995315
6,995319
7,995298
8,995328
9,995276
10,995261
11,995290
12,995256
13,995227
14,995257
15,995263
16,995299
17,995252
18,995277
19,995261
20,995294
21,995317
22,995307
23,995292
24,995244
25,995327
26,995321
27,995279
28,995237
29,995221
30,995285
31,995337
32,995364
33,995318
34,995277
35,995288
36,995392
37,995385
38,995406
39,995401
40,995376
41,995479
42,995483
43,995448
44,995485
45,995495
46,995411
47,995406
48,995416
49,995383
50,995401
51,995434
52,995486
53,995531
54,995505
55,995403
56,995463
57,995480
58,995460
59,995468
60,995487
61,995481
62,995477
63,995443
64,995384
65,995406
66,995425
67,995397
68,995401
69,995443
70,995441
71,995444
72,995455
73,995445
74,995469
75,995463
76,995485
77,995436
78,995467
79,995477
80,995457
81,995453
82,995464
83,995567
84,995581
85,995515
86,995515
87,995543
88,995570
89,995532
90,995486
91,995500
92,995516
93,995571
94,995491
95,995445
96,995503
97,995564
98,995527
99,995568
100,995561
101,995566
102,995601
103,995613
104,995611
105,995616
106,995641
107,995629
108,995606
109,995573
110,995625
111,995660
112,995607
113,995609
114,995634
115,995671
116,995695
117,995722
118,995694
119,995729
120,995696
121,995679
122,995686
123,995695
124,995674
125,995521
126,995458
127,995545
128,995209
129,994761
130,995075
131,994920
132,994948
133,995051
134,994981
135,995039
136,995060
137,995035
138,995041
139,995029
140,995031
141,995030
142,995084
143,995080
144,995074
145,995083
146,995031
147,995119
148,995141
149,995144
150,995069
151,995067
152,995047
153,995080
154,995160
155,995104
156,995092
157,995065
158,995102
159,995134
160,995115
161,995132
162,995128
163,995083
164,995110
165,995150
166,995127
167,995124
168,995165
169,995133
170,995118
171,995162
172,995195
173,995191
174,995178
175,995202
176,995192
177,995101
178,995076
179,995183
180,995244
181,995112
182,995099
183,995152
184,995162
185,995250
186,995240
187,995227
188,995252
189,995236
190,995196
191,995251
192,995277
193,995265
194,995315
195,995297
196,995240
197,995221
198,995228
199,995269
200,995341
201,995260
202,995251
203,995229
204,995256
205,995246
206,995244
207,995240
208,995273
209,995252
210,995250
211,995325
212,995299
213,995295
214,995311
215,995318
216,995353
217,995300
218,995297
219,995308
220,995311
221,995338
222,995342
223,995272
224,995294
225,995304
226,995263
227,995275
228,995265
229,995317
230,995287
231,995265
232,995234
233,995225
234,995257
235,995232
236,995227
237,995245
238,995289
239,995235
240,995199
241,995214
242,995195
243,995327
244,995299
245,995291
246,995225
247,995278
248,995280
249,995237
250,995208
251,995187
252,995158
253,995174
254,995193
255,995158
256,995124
257,995172
258,995171
259,995112
260,995079
261,995149
